FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,Antenna PIT tag ID 1,BTO ring derived from Antenna ID 1,Bird Sex derived from Antenna ID 1,Antenna Pit tag ID 2,BTO ring derived from Antenna ID 2,Bird Sex derived from Antenna ID 2,numberTrapAttemptsF,numberTrapAttemptsM,Female Ring number from trapping,Feacal sample female?,Male ring number from trapping,Feacal sample male?,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,Feacal sample?,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
,MW,53,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,65,0,,75,,,,01103F4913,ABL3888,,no visits,,,,,,,,,77,77,8,0,na,,,,,,108,MW53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN8+(10/FS)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,54,1,,cleaned,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,55,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,70,0,,80,79,80,,unk,,,unk,,,2,1,AKL0565,NA,,,82,82,9,0,na,,,,,,108,MW55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN9(6)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,56,1,BLUTI,cleaned,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FL/EN0,,,,,N5/EN0,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,58,,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,59,1,GRETI,cleaned/EN1/YX0,16/06/2020,,,,,,,,,,,,,67,0,,78,na,na,,01103FE558,Y584218,M,01103F8D8E,Z066828,F,,,,,,,81,81,7,0,Y,,,,,,108,MW59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YN7(10)/NP/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN1/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,60,,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,69,0,,80,80,80,,011016FD16,Z066458,F,01103F5E04,Y584254,M,1,1,Z066458,Y,Y584254,Y,83,81,7,0,Y,,,,,,108,MW60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YN7(8)/NP/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,61,1,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,62,1,BLUTI,cleaned/EN9,16/06/2020,,68,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/EN9/CO/BLUTI,,,,EN9/CO/NP/OLD/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,63,,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,64,1,GRETI,cleaned/EN7,16/06/2020,,70,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN7/CO/NP/GRETI,,,,EN7/CO/NP/OLD/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,65,,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,66,1,GRETI,NC/EN0/YX0/start of hornet nest,16/06/2020,,,,,,,,,,,,,69,0,,80,80,80,,011016F4AD,TV35490,M,01103FDC8F,Y584491,,1,1,Y584491,N,TV35490,Y,83,82,6,0,Y,,,,,,108,MW66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YN6(8)/NP/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC/EN0/YX0/start of hornet nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,67,1,,cleaned/bird pooh - something fledged -missed box! ,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N2 OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/bird pooh - something fledged -missed box! ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,70,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,63,0,,73,,,,0700EDBF7A,Z066499,,unk,,,,,,,,,75,76,7,0,na,,,,,,108,MW70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN?(13/FL)/VC4/9:11-10:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,73,1,GRETI,cleaned/EN0/YX2,16/06/2020,,,,,,,,,,,,,63,0,,74,,,,011016FB74,Z066589,M,unk,,,,,,,,,77,77,2,0,Y,,,,,,108,MW73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN2(13/FS)/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,74,1,BLUTI,cleaned/EN0/YX2,16/06/2020,,,,,,,,,,,,,66,0,,76,na,na,,01103FA1EF,Y584181,,01103F50EA,Z066733,,,,,,,,78,77,8,0,na,,,,,,108,MW74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/YN?(10?)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,75,1,GRETI,cleaned/EN0/YX2/TV35071/TV35069,16/06/2020,,,,,,,,,,,,,75,1,0,86,,86,,01103FDF3E,Y584298,M,110170740,Z066284,,1,,Z066284,Y,,,89,89,4,0,Y,2,,,2,TV35071/TV35069,108,MW75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN3(1)/EN1/YX1/GRETI,,,,,,,,,,,,,,YN4/EN0,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX2/TV35071/TV35069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,76,1,BLUTI,cleaned/EN0/YX2,16/06/2020,,,,,,,,,,,,,70,0,,80,na,na,,011016E61D,Y584190,,_011016E055,Z066697,,,,,,,,82,82,5,0,na,,,,,,108,MW76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN5(6)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,77,,,missed/ too many brambles,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missed/ too many brambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,78,,,cleaned/EN1/YX0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN1/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,79,1,,cleaned,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLEDGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,80,1,BLUTI,"cleaned/EN0/YX6/AKL0624,25,26,27,28,29",16/06/2020,,,,,,,,,,,,,74,0,0,84,na,na,,01103F9AC4,Y584189,,01103F9125,Y584493,,,,,,,,86,86,6,0,na,0,,,6,"AKL0624,25,26,27,28,29",108,MW80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN6(2)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cleaned/EN0/YX6/AKL0624,25,26,27,28,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,82,1,BLUTI,cleaned/EN5,16/06/2020,,71,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/EN5/CO/BLUTI,,,,,NP/EN5/CO/OLD/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,84,1,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,MW84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN3/YX2(1)/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,86,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,75,1,,85,na,na,,011016CAC8,Z066586,,01103F90FA,Y584499,,,,,,,,87,87,9,0,na,,,,,,108,MW86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/ND/FX/YN?(1)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,88,1,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,MW88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YX?(3)/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,89,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,75,1,0,86,86,86,,011017193C,Y584401,F,011016FBDD,Z066472,M,1,1,Y584401,Y,Z066472,Y,89,86,8,0,Y,,,,,,108,MW89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/YN?(1)/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,90,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,6,1,70,81,79,1,1,89,na,89,,01103F5D0B,Y584309,,unk,,,,,AKL0661,na,na,na,91,89,5,0,na,,,,,,108,MW90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/EN6/WA/BLUTI,,,,,FP/FX/YN?(2)/BLUTI,,,,,,,,,YN5/EN1,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,91,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,63,0,,73,,,,,,,,,,,,,,,,75,76,9,0,na,,,,,,108,MW91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN?(13/FL)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,93,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,66,0,,76,,,,,,,,,,,,,,,,78,78,6,0,na,,,,,,108,MW93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN6(10)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,101,1,,N0,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,102,1,BLUTI,missed,16/06/2020,,69,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/EN7/CO/BLUTI/8:45,,,,,NP/EN6/CO/OLD/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,missed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,106,1,GRETI,N0,16/06/2020,,,,,,,,,,,,,75,1,,86,85,,,011016FA48,D198203,,unk,,,,1,,,D198203,Y,89,na,,,na,,,,,,87,MW106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FP/FX/NO/YN?(1)/GRETI,,,,,,,,,,YN3/Woodpecker at hole,,YX1/ABANDONED,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,111,,,cleaned,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,113,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,68,0,,79,,79,,01101701B5,Z066618,F,unk,,,1,2,Z066618,Y,NA,N,82,81,7,0,Y,,1,,,,108,MW113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN8(8)/GRETI/VC1/10:25-11:40,,,,,,NR7/YX1,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,115,1,,cleaned/EN8,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN8/CO/GRETI,,,,EN8/CO/NP/OLD/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,129,,,cleaned,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,131,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,66,0,,76,na,na,,01103F42B8,Y584314,,01103F4C6F,Y584229,,,,,,,,78,78,6,0,na,,,,,,108,MW131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN6(10)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,138,1,,cleaned,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,140,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,70,0,2,81,,81,,unk,,,unk,,,1,,AKL0582,,,,84,82,2,0,na,,,,,,108,MW140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN3(7)/EN2/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,141,1,BLUTI,cleaned/EN2/YX0,16/06/2020,,,,,,,,,,,,,69,,,79,na,na,,011016AD9B,Z066490,,011016DF55,Z066694,,,,,,,,81,81,5,0,na,,,,,,108,MW141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN5(7)/EN1/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN2/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,142,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,69,0,,80,,80,,01103FE022,Y584274,F,01103F502D,Z066817,M,1,1,Z066817,Y,NA,N,83,82,4,0,Y,,,,,,108,MW142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN4(7)/EN1/GRETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,143,1,BLUTI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,74,0,0,84,na,na,,01103F6598,Z066614,,01103F8A20,Z066879,,,,,,,,86,86,6,0,na,,,,,,108,MW143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP/YN5(2)/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,144,1,,cleaned,16/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,MW144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CH,1,1,GRETI,cleaned/EN0/YX0,16/06/2020,,,,,,,,,,,,,72,0,,83,83,84,,,,,,,,1,1,AKL0623,NA,AKL0620,na,86,83,6,0,,,,,,,108,CH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cleaned/EN0/YX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CH,2,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total active nests,74,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total active nests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
